[TEST Information]

 - Logging Start Time : 260127_152547
 - Project Name : steer-2wd-circle-3kmh
 - Test Pulpose : 
 - Test Location : 
 - Test Mode : 

[Signal Description]

 - 속도 (km/h)
 - 지상고 (FR, FL, RR, RL) [mm]
 - 조향각 (FR, FL, RR, RL) [deg]
 - 가속도 (X / Y / Z) [g]
 - 각속도 (X / Y / Z) [deg/s]
 - 배터리 상태 (전압[V], 전류[A], SoC[%], 온도[°C])
 - 서보모터 상태
  · 전류 (현가 / 조향, FR/FL/RR/RL) [A]
  · 위치 (현가 / 조향, FR/FL/RR/RL) [deg]
 - 플랫폼 온도 [°C]

[Wheel & Motor Position Definition]

 - FR : Front Right
 - FL : Front Left
 - RR : Rear Right
 - RL : Rear Left

Logging Start
																																					
시간[Time]	속도[Km/h]	Hgt_Enc_FL[deg]	Hgt_Enc_FR[deg]	Hgt_Enc_RL[deg]	Hgt_Enc_RR[deg]	Steer_Enc_FL[deg]	Steer_Enc_FR[deg]	Steer_Enc_RL[deg]	Steer_Enc_RR[deg]	IMU_Acc_X[g]	IMU_Acc_Y[g]	IMU_Acc_Z[g]	IMU_AngVel_X[deg/s]	IMU_AngVel_Y[deg/s]	IMU_AngVel_Z[deg/s]	Vat_Volt[V]	Vat_Curr[A]	Vat_SoC[%]	Vat_Temp[C]	Hgt_Curr_FL[Ａ]	Hgt_Curr_FR[Ａ]	Hgt_Curr_RL[Ａ]	Hgt_Curr_RR[Ａ]	Steer_Curr_FL[A]	Steer_Curr_FR[A]	Steer_Curr_RL[A]	Steer_Curr_RR[A]	Hgt_Pos_FL[deg]	Hgt_Pos_FR[deg]	Hgt_Pos_RL[deg]	Hgt_Pos_RR[deg]	Steer_Pos_FL[deg]	Steer_Pos_FR[deg]	Steer_Pos_RL[deg]	Steer_Pos_RR[deg]	Platform_Temp[C]	Distance[m]
260127_152547.481	0	-0.1	0.1	-3.4	-3.8	0.0	-0.3	0.0	0.0	-0.002	0.019	-1.005	0.00	-0.03	0.00	52.3	-6	60	12	0	0	0	0	-130	-80	130	-180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_152547.491	0	0.0	0.0	-3.4	-3.8	0.0	-0.3	0.0	0.0	-0.002	0.020	-1.005	0.00	-0.03	0.00	52.3	-6	60	12	0	0	0	0	-130	-80	130	-180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_152547.501	0	0.0	0.1	-3.4	-3.8	0.0	-0.3	0.0	0.0	-0.002	0.021	-1.006	0.00	-0.03	0.00	52.3	-6	60	12	0	0	0	0	-130	-80	130	-180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_152547.511	0	0.0	0.1	-3.4	-3.8	0.0	-0.3	0.0	0.0	-0.002	0.019	-1.006	0.00	-0.02	0.00	52.3	-6	60	12	0	0	0	0	-130	-80	130	-180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_152547.521	0	0.0	0.1	-3.4	-3.8	0.0	-0.3	0.0	0.0	-0.002	0.019	-1.005	0.00	-0.02	0.00	52.3	-6	60	12	0	0	0	0	-130	-80	130	-180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_152547.532	0	-0.1	0.1	-3.4	-3.8	0.0	-0.3	0.0	0.0	-0.002	0.019	-1.005	0.00	-0.02	0.00	52.3	-6	60	12	0	0	0	0	-130	-80	130	-180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_152547.543	0	0.0	0.0	-3.4	-3.7	0.0	-0.3	0.0	0.0	-0.002	0.019	-1.005	0.00	-0.01	0.00	52.3	-6	60	12	0	0	0	0	-130	-80	130	-180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_152547.553	0	-0.1	0.0	-3.4	-3.8	0.0	-0.3	0.0	0.0	-0.002	0.020	-1.004	0.00	0.00	0.00	52.3	-6	60	12	0	0	0	0	-130	-80	130	-180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_152547.564	0	0.0	0.0	-3.4	-3.7	0.0	-0.3	0.0	0.0	-0.001	0.020	-1.004	-0.01	0.01	0.00	52.3	-6	60	12	0	0	0	0	-130	-80	130	-180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_152547.574	0	0.0	0.1	-3.3	-3.8	0.0	-0.3	0.0	0.0	-0.001	0.020	-1.004	-0.01	0.02	0.00	52.3	-6	60	12	0	0	0	0	-130	-80	130	-180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
