[TEST Information]

 - Logging Start Time : 260127_152804
 - Project Name : steer-4wd-circle-3kmh
 - Test Pulpose : 
 - Test Location : 
 - Test Mode : 

[Signal Description]

 - 속도 (km/h)
 - 지상고 (FR, FL, RR, RL) [mm]
 - 조향각 (FR, FL, RR, RL) [deg]
 - 가속도 (X / Y / Z) [g]
 - 각속도 (X / Y / Z) [deg/s]
 - 배터리 상태 (전압[V], 전류[A], SoC[%], 온도[°C])
 - 서보모터 상태
  · 전류 (현가 / 조향, FR/FL/RR/RL) [A]
  · 위치 (현가 / 조향, FR/FL/RR/RL) [deg]
 - 플랫폼 온도 [°C]

[Wheel & Motor Position Definition]

 - FR : Front Right
 - FL : Front Left
 - RR : Rear Right
 - RL : Rear Left

Logging Start
																																					
시간[Time]	속도[Km/h]	Hgt_Enc_FL[deg]	Hgt_Enc_FR[deg]	Hgt_Enc_RL[deg]	Hgt_Enc_RR[deg]	Steer_Enc_FL[deg]	Steer_Enc_FR[deg]	Steer_Enc_RL[deg]	Steer_Enc_RR[deg]	IMU_Acc_X[g]	IMU_Acc_Y[g]	IMU_Acc_Z[g]	IMU_AngVel_X[deg/s]	IMU_AngVel_Y[deg/s]	IMU_AngVel_Z[deg/s]	Vat_Volt[V]	Vat_Curr[A]	Vat_SoC[%]	Vat_Temp[C]	Hgt_Curr_FL[Ａ]	Hgt_Curr_FR[Ａ]	Hgt_Curr_RL[Ａ]	Hgt_Curr_RR[Ａ]	Steer_Curr_FL[A]	Steer_Curr_FR[A]	Steer_Curr_RL[A]	Steer_Curr_RR[A]	Hgt_Pos_FL[deg]	Hgt_Pos_FR[deg]	Hgt_Pos_RL[deg]	Hgt_Pos_RR[deg]	Steer_Pos_FL[deg]	Steer_Pos_FR[deg]	Steer_Pos_RL[deg]	Steer_Pos_RR[deg]	Platform_Temp[C]	Distance[m]
260127_152804.659	0	-1.2	-1.2	-3.8	-3.4	0.0	-0.3	0.0	0.0	-0.003	0.020	-1.005	-0.01	0.06	0.00	52.2	-6	60	12	0	0	0	0	-370	-70	340	40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_152804.669	0	-1.3	-1.3	-3.8	-3.4	0.0	-0.3	0.0	0.0	-0.003	0.020	-1.005	0.00	0.05	0.00	52.2	-6	60	12	0	0	0	0	-370	-70	340	40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_152804.679	0	-1.2	-1.2	-3.9	-3.5	0.0	-0.3	0.0	0.0	-0.003	0.019	-1.004	-0.01	0.05	0.00	52.2	-6	60	12	0	0	0	0	-370	-70	340	40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_152804.689	0	-1.2	-1.2	-3.9	-3.4	0.0	-0.3	0.0	0.0	-0.003	0.019	-1.004	-0.01	0.05	0.00	52.2	-6	60	12	0	0	0	0	-370	-70	340	40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_152804.700	0	-1.2	-1.2	-3.9	-3.5	0.0	-0.3	0.0	0.0	-0.003	0.019	-1.004	-0.01	0.05	0.00	52.2	-6	60	12	0	0	0	0	-370	-70	340	40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_152804.711	0	-1.2	-1.2	-3.9	-3.4	0.0	-0.3	0.0	0.0	-0.003	0.019	-1.005	0.00	0.03	0.01	52.2	-6	60	12	0	0	0	0	-370	-70	340	40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_152804.721	0	-1.2	-1.2	-3.9	-3.5	0.0	-0.3	0.0	0.0	-0.003	0.019	-1.005	0.00	0.02	0.01	52.2	-6	60	12	0	0	0	0	-370	-60	340	40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_152804.732	0	-1.2	-1.3	-3.9	-3.4	0.0	-0.3	0.0	0.0	-0.003	0.019	-1.006	0.00	0.01	0.01	52.2	-6	60	12	0	0	0	0	-370	-60	340	40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_152804.743	0	-1.3	-1.2	-4.0	-3.5	0.0	-0.3	0.0	0.0	-0.002	0.019	-1.006	0.00	0.01	0.01	52.2	-6	60	12	0	0	0	0	-370	-60	340	40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_152804.754	0	-1.2	-1.2	-3.9	-3.5	0.0	-0.3	0.0	0.0	-0.001	0.019	-1.007	0.01	0.00	0.00	52.2	-6	60	12	0	0	0	0	-370	-60	340	40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
